,algorithm,n_neighbors,n_neighbors_best,n_clusters,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
22,opf,50,49,5,jaccard,pearson,0.5484205593684698,0.656370650207121,0.5901639344262295,0.6796332087389771,0.5605513230273154,0.5245901639344263,0.7649122807017544,0.7375816993464054,0.3934426229508196,0.4916666666666667,0.3813725490196078
23,opf,50,48,16,pearson,pearson,0.5268052406592095,0.6347359025863316,0.5737704918032787,0.6751590979122647,0.570282920959685,0.4590163934426229,0.8087719298245615,0.7823996265172736,0.3278688524590163,0.5083333333333332,0.3578431372549019
24,opf,50,50,9,squared_euclidean,pearson,0.53761802090555,0.6464612273866033,0.6229508196721312,0.6955024166883634,0.5730673332343748,0.4754098360655737,0.7842105263157896,0.7518907563025211,0.3442622950819672,0.518859649122807,0.3911764705882352
25,opf,60,1,193,cosine,pearson,0.6849594636706401,0.8234322153149551,0.3934426229508196,0.3888799739359822,0.2814463650816819,0.4590163934426229,0.5732456140350877,0.6139355742296919,0.2131147540983606,0.2614035087719298,0.1964285714285714
26,opf,60,51,3,euclidean,pearson,0.5349456834214401,0.6389958417742462,0.5901639344262295,0.680404011146026,0.5459456398035679,0.5081967213114754,0.7921052631578949,0.7695378151260506,0.3770491803278688,0.5083333333333333,0.3570028011204482
27,opf,60,55,4,jaccard,pearson,0.5483001324613062,0.6551348684802744,0.5901639344262295,0.6939410018729634,0.5665543285690278,0.4590163934426229,0.7789473684210527,0.7463352007469656,0.3442622950819672,0.4903508771929825,0.3700280112044818
28,opf,60,60,3,pearson,pearson,0.5290679768610359,0.6341701723934595,0.5901639344262295,0.6966734727034498,0.5790647000250518,0.4918032786885246,0.775,0.7929738562091504,0.3770491803278688,0.518859649122807,0.3964985994397759
29,opf,60,58,5,squared_euclidean,pearson,0.5481347284034693,0.6598560567259824,0.6065573770491803,0.6933998276430877,0.5714846821715214,0.4426229508196721,0.76140350877193,0.7303221288515407,0.3278688524590163,0.5109649122807017,0.3950980392156862
0,opf_snn,10,9,233,cosine,pearson,0.7571164106038479,0.9051589459620824,0.3934426229508196,0.424893108896143,0.3974096743519901,0.5245901639344263,0.5975000000000001,0.6021428571428571,0.3114754098360656,0.2945833333333333,0.261904761904762
1,opf_snn,10,7,169,euclidean,pearson,0.7497497600798765,0.9152173514417477,0.3442622950819672,0.4146442536091619,0.4182979587714994,0.4262295081967213,0.56125,0.6387037037037037,0.1639344262295081,0.2720833333333333,0.3196825396825397
2,opf_snn,10,6,241,jaccard,pearson,0.727764139558841,0.880135624531338,0.3442622950819672,0.4318311890183736,0.446598819721271,0.4098360655737705,0.5075000000000001,0.5446296296296296,0.2131147540983606,0.2958333333333333,0.3292857142857143
